attore,stato,leva,dominio,dove_persiste,cosa_cambia,dove_ui,se_la_togliamo
admin,inerte,Penalita' prodotti «dietetici» (penalita_dietetici),superfici_admin,"public.nutrition_engine_config, key='penalita_dietetici', value=25 (0-50)","Solo nel motore Postgres spento: scarta sostituti del pasto, bevande dolcificate, «drink mix». Sul piano vivo: nulla.","/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171",Nulla.
admin,inerte,Preferenza oli a bassa % di saturi (peso_pct_saturi_olio),superfici_admin,"public.nutrition_engine_config, key='peso_pct_saturi_olio', value=0.2 (0-2)",Solo nel motore Postgres spento: pesa fat_sat_pct nella scelta del condimento grasso. Sul piano vivo: nulla.,"/admin/alimenti, «Parametri motore menù» — AdminEngineConfigSection.tsx:149-171","Nulla. NB: le 9 manopole sono un blocco unico — o si tiene tutta la sezione «Parametri motore menù» (e con essa fn_select_food/generate_plan/fdc_food_tagged/nutrition_slot_assembly), o si buttano insieme."
admin,inerte,Regole di assemblaggio degli slot (tabella nutrition_slot_assembly),schema_db,"nutrition_slot_assembly (slot, slot_order, role_order, food_role, lever, slot_fit_tag, macro_tag, course_tag, min_g, max_g, step_g, fixed_g, target_density_100g",Nulla oggi. Direbbe quali ruoli alimentari compongono ogni pasto e in che range di grammi possono muoversi.,nessuna UI,"Niente oggi. Stessa avvertenza di meal_distribution: sono 17 righe di regole che descrivono un modello, non solo configurazione morta."
admin,inerte,Scelta del motore per atleta (nutrition_config.meal_plan_engine) e via env NUTRITION_MEAL_PLAN_ENGINE,leve_morte,athlete_profiles.nutrition_config.meal_plan_engine (0 profili su 41) + env Vercel,"Dovrebbe scegliere fra v1 mediterraneo, v2, shadow e db. Sul path vivo non viene mai consultato.",nessuna UI - solo JSON in DB o env,"Si perde il rollback per-atleta, che gia oggi non funziona sul percorso primario. Togliendolo cadono per coerenza i rami v1/shadow/db della route."
admin,inerte,Severita sui grassi saturi (penalita_saturi),superfici_admin,"public.nutrition_engine_config, riga key='penalita_saturi', value=1.5 (min 0 max 10) — verificato con SELECT in prod",Solo nel motore Postgres spento: moltiplica i grammi di grassi saturi nel punteggio del secondo proteico. Sul piano che l'atleta riceve oggi: NULLA.,"/admin/alimenti, sezione «Parametri motore menù» — apps/web/components/admin/foods/AdminEngineConfigSection.tsx:149-157 (input) + :159-171 (Salva). NB: la sezio","Niente si rompe. Cancellando la riga il valore 1.5 resta cablato nel coalesce di fn_select_food; e siccome la UI e' generica, la manopola sparisce dal pannello senza toccare una riga di codice."
admin,inerte,USDA_API_KEY — chiave API FoodData Central,superfici_admin,process.env,Nulla in runtime. Serve solo agli script di import/arricchimento lanciati a mano.,nessuna UI — .env.example:107 e :390,Si perde la possibilita' di rilanciare gli script di import USDA. Zero impatto sul runtime.
admin,inerte,"Valori nutrizionali per 100 g degli alimenti (kcal, carboidrati, proteine, grassi, fibre, zuccheri, sodio)",superfici_admin,"public.fdc_food (kcal_100g, carbs_100g, protein_100g, fat_100g, fiber_100g, sugars_100g, sodium_mg_100g) — 8149 righe","Nulla sul piano generato. Il motore vivo prende le macro da un'ALTRA tabella (nutrition_fdc_foods, 8211 righe). La modifica alimenta solo la matview del motore Postgres spento.","/admin/alimenti, «Gestione Alimenti» -> dialog «Modifica alimento», 7 input numerici — apps/web/components/admin/foods/AdminFoodEditDialog.tsx:294-306, campi in",Non si rompe nessun piano. Ma resta scoperto il bisogno reale: correggere una macro sbagliata sul motore vivo oggi NON e' possibile da nessuna UI.
admin,inerte,carb_family — famiglia carboidrato (fallback della rotazione),superfici_admin,"public.nutrition_menu_foods.carb_family (text, nullable). In prod: 35 righe valorizzate","NULLA sui dati di oggi. Nel codice servirebbe a evitare il doppione pranzo+cena dello stesso tipo di carboidrato, ma SOLO per le righe che NON hanno rotation_key — e in prod non esiste nessuna riga cosi'.","/admin/alimenti, dialog «Modifica» del Catalogo menù, campo testo libero — AdminMenuFoodEditDialog.tsx:250-260",Zero effetto sul piano di oggi. E' un campo latente: tornerebbe utile solo se si iniziassero a inserire righe con carb_family e senza rotation_key. Il mappatore lo dava «viva».
admin,inerte,meal_plan_engine (selettore del motore: v1 | v2 | shadow | db),contratto_motore,athlete_profiles.nutrition_config.meal_plan_engine (per atleta) oppure env di Vercel (globale). In DB: 0 atleti su 41 hanno la chiave,"in teoria commuta tra V1 mediterraneo, V2 FDC, shadow e motore Postgres generate_plan. In pratica la Edge Function — il percorso primario — non lo legge affatto e chiama sempre buildMealPlanV2Production",nessuna UI: a mano in nutrition_config o via variabile d'ambiente NUTRITION_MEAL_PLAN_ENGINE,nulla sul percorso vivo. Va pero considerato che togliendolo si perde anche il rollback d'emergenza della route Next (che resta il fallback quando l'edge e giu)
atleta,viva,% calorie rispetto al fabbisogno del giorno (0-130),superfici_atleta,athlete_profiles.nutrition_config.week_plan[Mon..Sun].day_type_pct,"Scala l'INTERO fabbisogno pasti del giorno (80 = deficit 20%, 115 = surplus 15%). E la leva ipo/normo/ipercalorico. Meccanicamente viva, ma MAI usata da nessuno.","ProfileNutritionSection.tsx:217 (input number, per giorno; NON disabled)",E la leva che nel modello nuovo va data al COACH. Non toglierla: toglierla all'atleta e ridurla da numero libero a 3 scelte. Se sparisse senza sostituto ogni giorno resterebbe normocalorico (default 100 a resolve-nutrition-diet-day.ts:352) — che e esattamente lo stato attuale di tutti.
atleta,viva,% calorie rispetto al fabbisogno del giorno (day_type_pct),schema_db,athlete_profiles.nutrition_config -> week_plan[Mon..Sun].day_type_pct (number),"Scala l'intero fabbisogno kcal dei pasti del giorno (75 = ipocalorico, 115 = ipercalorico). È l'unico numero con cui la scelta iper/normo/ipo entra davvero nel calcolo.","apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:217 (input number 0-130) — NON gated da canEditNutritionPercents, quindi anche l'atleta la c",Si perde l'unica leva iper/normo/ipo funzionante. Va sostituita con la scelta a tre voci mappata sullo stesso campo o su un campo nuovo letto in daily-energy-solver.ts:319.
atleta,viva,Alimenti esclusi (campo CSV libero),superfici_atleta,athlete_profiles.food_exclusions (text[]),Ogni stringa diventa una sottostringa vietata sulle etichette degli alimenti. Meccanicamente identica ad allergie/intolleranze.,ProfileNutritionSection.tsx:286 (input text CSV «Alimenti esclusi»),"Meccanicamente ridondante con «Alimenti da evitare (dal database)», che scrive nello stesso deny testuale ma con etichette reali del catalogo. Tenerne UNO solo — e i dati dicono di tenere quello col picker."
atleta,viva,"Allenamenti pianificati nella routine (si/no, orario di inizio, durata, seconda seduta)",superfici_atleta,"athlete_profiles.routine_config.week_plan[gg].{has_training,training1_start_time,training1_duration_minutes,has_training2,training2_start_time,training2_duratio",Definisce la finestra di allenamento usata per sopprimere gli spuntini e marcare il pasto post-allenamento; nel giorno «race» fornisce orario e durata della gara sintetica. NON definisce le kcal.,"ProfileRoutineSection.tsx:93-98 (has_training, training1_start_time, training1_duration_minutes, has_training2, training2_*)","Si perde la soppressione degli spuntini in finestra allenamento e il pasto post-workout, a meno di derivare la finestra da planned_workouts (che ha gia data+durata; manca l'ora di inizio)."
atleta,viva,"Allenamento nella routine (has_training, has_training2, orari e durate)",schema_db,"athlete_profiles.routine_config -> week_plan[wd].{has_training, has_training2, training1_start_time, training1_duration_minutes, training2_start_time, training2","Due cose reali: (1) sopprime gli spuntini che cadono dentro la finestra di allenamento; (2) fornisce orario e durata della gara quando il calendario non ha una riga pianificata. Il FABBISOGNO energetico invece il motore lo prende dai planned_workouts, non da qui.",apps/web/modules/profile/views/sections/ProfileRoutineSection.tsx (checkbox e campi allenamento 1 / 2),Si perde la soppressione spuntini in finestra di allenamento e il rilevamento gara senza riga in calendario. Le durate dichiarate restano ridondanti rispetto al calendario per la parte energetica.
atleta,viva,Allergie (allergies),schema_db,athlete_profiles.allergies (text[]),Come le intolleranze: frasi di deny testuale sui candidati del pool.,apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:284 (campo CSV); scrittura ProfilePageView.tsx:554,"Da tenere: è il nucleo di «cosa non mangio». Attenzione: è un deny per SOTTOSTRINGA applicato al testo INGLESE della descrizione FDC (fdc-candidate-filter.ts:56 su `c.description`), quindi 'mela' e 'pesca' in italiano hanno rischio concreto di falsi negativi."
atleta,viva,Allergie (campo CSV libero),superfici_atleta,athlete_profiles.allergies (text[]),"Identico alle intolleranze: stesse 13 regole di espansione (arachidi, frutta a guscio, soia, pesce, crostacei, sesamo, senape, sedano, lupini, mais, uova, glutine, lattosio).",ProfileNutritionSection.tsx:285 (input text CSV),Non si puo togliere (sicurezza). Va semmai reso strutturato invece che testo libero: oggi «noci» funziona solo perche esiste la regex hardcoded a meal-plan-profile-food-filter.ts:22-23.
atleta,viva,Cibi esclusi in testo libero (food_exclusions),schema_db,athlete_profiles.food_exclusions (text[]),"Terza fonte di deny testuale, unita alle etichette del picker FDC.",apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:285 (campo CSV «esclusioni»); scrittura ProfilePageView.tsx:552,"Duplica il picker FDC (excluded_fdc_foods): sono due UI diverse per la stessa cosa, in due tab dello stesso pannello, e nessuna delle due ha dati. Da unificare in una sola, non da cancellare del tutto (il testo libero è l'unico modo per escludere qualcosa che non è nel catalogo FDC)."
atleta,viva,Conferme pasto e acqua bevuta (nutrition_config.meal_confirmations / hydration_intake),schema_db,athlete_profiles.nutrition_config -> meal_confirmations[data][slot] e hydration_intake[data].ml,Non toccano la generazione (sono esplicitamente escluse dalla firma degli input del solver a NutritionPageView.tsx:890-896) ma cambiano cosa mostrano Oggi e Nutrizione: stato dei pasti e ml bevuti contro il target.,"Nutrizione: spunta pasto e registrazione acqua (modules/nutrition/hooks/use-nutrition-quick-actions.ts:48-98, NutritionPageView.tsx:3069-3124)","Sparisce l'aderenza dichiarata dall'atleta (spunte e idratazione). Il codice funziona: il problema è che in un anno nessuno l'ha usato — è un segnale su dove NON investire, non su cosa cancellare per rompere qualcosa."
atleta,viva,Integratori dichiarati (supplements),schema_db,athlete_profiles.supplements (text[]),"Sceglie i PRODOTTI del protocollo di fueling (pre/intra/post) mostrato in Nutrizione, e popola l'evento «Integrazione giornaliera» in Oggi. Sulla composizione dei PASTI non incide (lì è solo una riga di testo).","apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx (selezione integratori, tab integratori); scrittura ProfilePageView.tsx:555-557","Si rompe la scelta prodotto del protocollo fueling e l'evento integratori di Oggi. NON è una manopola del meal plan, ma non è affatto morta."
atleta,viva,Intolleranze (campo CSV libero),superfici_atleta,athlete_profiles.intolerances (text[]),"Ogni frase e sia sottostringa letterale sia espansa in una famiglia (es. «lattosio» -> latte, yogurt, ricotta, mozzarella, parmigiano, burro, panna, whey, kefir...). Gli alimenti la cui etichetta contiene un frammento vengono scartati dal pool.","ProfileNutritionSection.tsx:284 (input text CSV, tab Intolleranze)","NON si puo togliere: e sicurezza alimentare. Semmai sostituirla con le chip di classe (oggi inerti, vedi voce dedicata)."
atleta,viva,Intolleranze (intolerances),schema_db,athlete_profiles.intolerances (text[]),Aggiunge frasi di deny testuale che escludono candidati dal pool durante la composizione.,"apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:283 (campo CSV, tab «intolleranze»); scrittura ProfilePageView.tsx:553",È il nucleo di «cosa non mangio»: da tenere.
atleta,viva,Lifestyle / attivita non sportiva (Sedentary +15% / Moderate +20% / Active +30% / Very active +40%),superfici_atleta,athlete_profiles.routine_config.lifestyle_activity_class (NON una colonna: vive dentro il JSON routine),Aggiunge una quota fissa di kcal sopra il BMR (+15% .. +40%). Su un BMR di 1800 kcal fa 270 vs 720 kcal/giorno: la seconda leva piu grossa dopo il peso.,"ProfilePersonalSection.tsx:43 (select, con le percentuali scritte nelle etichette)",E VIVA e pesante. Va sostituita da qualcosa: il candidato naturale sono passi/kcal attive del device (il gancio esiste — daily-energy-solver.ts:327-341 observedActiveKcal sostituisce BMR+lifestyle+training col consumo reale).
atleta,viva,Marchi integratori preferiti (supplement_config.selected_brands),schema_db,athlete_profiles.supplement_config -> selected_brands (string[]),"Orienta la scelta dei prodotti nel protocollo di fueling (pre/intra/post) mostrato in Nutrizione, e popola l'evento integratori di Oggi. Sul MEAL PLAN non arriva.",apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:396 («Brand preferiti»); scrittura ProfilePageView.tsx:514-517,Si rompe la scelta marca nel protocollo fueling. Se invece si volesse portarlo anche nel meal plan basta valorizzare `preferredFuelingBrands` nei 3 chiamanti: il parametro esiste già.
atleta,viva,"Numero di pasti / digiuno del giorno (1..6, fasting, semi-8-16/6-18/4-20)",superfici_atleta,athlete_profiles.nutrition_config.week_plan[Mon..Sun].meal_count_mode,Quanti slot pasto esistono (3..6) e in quante porzioni si spezza il budget kcal. 6 pasti attiva i tre spuntini separati (snack_am/pm/evening) e fa leggere night_time come spuntino serale.,"ProfileNutritionSection.tsx:197-215 (select «Pasti + digiuno», per giorno della settimana)","E la ROUTINE che il modello nuovo vuole tenere: conservarla, semmai spostarla sotto ROUTINE invece che dentro Diet. Senza, si ricade su preferred_meal_count (nessuna UI) e poi sul default '4' (resolve-nutrition-diet-day.ts:421)."
atleta,viva,Numero di pasti del giorno (meal_count_mode),schema_db,athlete_profiles.nutrition_config -> week_plan[wd].meal_count_mode (text),Decide quanti slot pasto esistono (3/4/5/6) e quindi l'intera struttura della giornata alimentare.,"apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:197-215 (select 1..6, fasting, semi-8-16, semi-6-18, semi-4-20) — nessun gate",Si rompe la struttura del piano: qualcosa deve decidere il numero di slot. Nel modello nuovo si deriverebbe dalla routine (quanti orari pasto l'atleta dichiara).
atleta,viva,"Orari dei pasti per giorno della settimana (sveglia, colazione, spuntino, pranzo, spuntino pom., cena, notte)",superfici_atleta,"athlete_profiles.routine_config.week_plan[Mon..Sun].{wake_time,breakfast_time,snack_time,lunch_time,afternoon_snack_time,dinner_time,night_time}",Tre cose vere: (1) l'orario stampato su ogni pasto; (2) quali spuntini vengono SOPPRESSI perche cadono nella finestra di allenamento; (3) quale pasto e marcato «post-allenamento» e ricomposto. night_time diventa lo spuntino serale nel giorno a 6 pasti.,"apps/web/modules/profile/views/sections/ProfileRoutineSection.tsx:80-86 (7 input time, uno per giorno)","E la ROUTINE del modello nuovo: da tenere, semmai l'unica cosa che l'atleta dovrebbe impostare. Senza, si ricade sui default hardcoded 07:30/13:00/20:30/10:30/17:00 (build-meal-plan-v2-production.ts:24-29)."
atleta,viva,"Orari della routine (sveglia, colazione, spuntini, pranzo, cena, notte)",schema_db,"athlete_profiles.routine_config -> week_plan[wd].{wake_time, breakfast_time, snack_time, lunch_time, afternoon_snack_time, dinner_time, night_time}","Gli orari reali di ogni pasto nel piano generato, e di riflesso la coerenza con l'allenamento (soppressione spuntini nella finestra di training).",apps/web/modules/profile/views/sections/ProfileRoutineSection.tsx (7 campi ora per giorno),È esattamente la «routine» che il modello nuovo vuole TENERE. Va conservata.
atleta,viva,Peso (kg),superfici_atleta,athlete_profiles.weight_kg (numeric),"L'input piu pesante di tutti: entra nel BMR (quindi nelle kcal totali), nel target di idratazione (peso x 33), nei macro basali g/kg del ramo V2 e nelle regole gara (g CHO/kg pre-gara).",apps/web/modules/profile/views/sections/ProfilePhysicalSection.tsx:24 (input number),Impensabile. Va invece resa automatica dove possibile (bilancia/device): e il candidato numero uno per il modello «lo decide il sistema».
atleta,viva,Tipo di dieta (diet_type),schema_db,athlete_profiles.diet_type (text),"Due cose: (1) seleziona il POOL di alimenti FDC caricato dal V2 (dietProfileActive); (2) aggiunge frasi di deny (vegano toglie carne/pesce/latticini, ecc.). Con il valore reale in produzione ('omnivore') non cambia NIENTE di entrambe.","apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx (select dieta, tab «preferenze»); scrittura ProfilePageView.tsx:546",È parte di «cosa non mangio» e va tenuta: è l'interruttore vegano/vegetariano/pescetariano/celiaco. Ma va detto al proprietario che in 41 profili non è mai stata usata.
atleta,viva,Tipo di giornata routine (day_mode: training | recovery | race),schema_db,athlete_profiles.routine_config -> week_plan[wd].day_mode (text),"Il giorno 'race' attiva l'arricchimento gara del piano: pranzo pre-gara con orario spostato, recupero post-gara con budget riscritti, slot soppressi.",apps/web/modules/profile/views/sections/ProfileRoutineSection.tsx:87 (select Training/Recovery/Race),Perde senso la nozione di giorno gara nel piano alimentare. È informazione di routine: da tenere. Va invece cancellato il doppione server (route-prep.ts:185-196) che non funziona.
atleta,viva,allergies (allergie),contratto_motore,athlete_profiles.allergies (array) — in prod solo 1 atleta su 41 ha l'array non vuoto,"ogni frase viene espansa in sottostringhe (es. lattosio -> latte, yogurt, ricotta, mozzarella, burro, whey...) e ogni candidato la cui etichetta o canonicalKey contiene una sottostringa viene scartato dal pool","Profilo -> nutrizione, lista allergie; inviato da NutritionPageView.tsx:2027","rischio clinico diretto. E la leva piu viva del contratto, anche se oggi in prod la usa un solo atleta"
atleta,viva,dietType (onnivoro / vegetariano / vegano / pescetariano),contratto_motore,"athlete_profiles.diet_type (colonna, non JSON)",tre effetti cumulativi: (1) sceglie il profilo dieta dei pool USDA FDC caricati; (2) filtra il catalogo menu DB e l'allowlist staple; (3) genera un blocco di frammenti testuali di deny (carne/pesce/latticini/miele) applicati a ogni candidato,Profilo -> sezione nutrizione (campo diet_type); inviato da NutritionPageView.tsx:2025,si rompe la selezione alimenti su tre livelli. E una delle due cose che il modello nuovo vuole tenere all'atleta (COSA NON MANGIA)
atleta,viva,"foodExclusions (esclusioni alimentari, atleta + coach in sessione)",contratto_motore,athlete_profiles.food_exclusions (array) — ATTENZIONE: in prod ZERO atleti su 41 hanno l'array non vuoto. Piu il merge runtime con le label di nutrition_config.,stesso meccanismo di deny testuale di allergie/intolleranze; e ANCHE il canale attraverso cui le esclusioni per fdcId e per classe potrebbero diventare effettive (via le loro label),"Profilo -> nutrizione (food_exclusions) PIU le rimozioni del COACH in sessione, fuse a NutritionPageView.tsx:2013-2020 (coachSessionFoodExclusions) e persistite","si perde sia l'esclusione esplicita sia l'unico canale realmente funzionante delle esclusioni per fdcId/classe. NB: oggi in produzione il canale non trasporta nulla (0 atleti con food_exclusions, 0 righe in excluded_fdc_foods, 0 classi)"
atleta,viva,intolerances (intolleranze),contratto_motore,athlete_profiles.intolerances (array) — 2 atleti su 41 in prod,"identica ad allergies: stessa tabella di espansione frase->sottostringhe, stesso filtro sul pool",Profilo -> nutrizione; NutritionPageView.tsx:2026,stesso rischio delle allergie
atleta,viva,lifestyleActivityClass (classe di attivita quotidiana),contratto_motore,athlete_profiles.lifestyle_activity_class,sceglie il moltiplicatore PAL sul BMR: 1.25 / 1.4 / 1.55 / 1.75. Su un BMR di 1700 kcal vale ~850 kcal di differenza tra estremi,Profilo (sedentario / moderato / attivo / molto attivo),si perde la seconda leva energetica per peso (dopo il training)
atleta,viva,planDate (data del piano),contratto_motore,nutrition_plan.plan_date,"seed di rotazione; giorno della settimana da cui si leggono nutrition_config.week_plan[giorno] (ipo/normo/iper, distribuzione %, numero pasti) e routine_config.week_plan[giorno] (orari, day_mode gara); lettura planned_workouts del giorno; chiave di REPLACE della persistenza",selettore data del Piano — NutritionPageView.tsx:2023 (selectedPlanDate),non si puo: e la chiave del piano
atleta,viva,preferred_meal_count (LEVA MANCANTE nella scheda),contratto_motore,"athlete_profiles.preferred_meal_count — in prod: 24 atleti a 4, 16 null, 1 a 6","quando vale ESATTAMENTE 6 e la distribuzione calorica lo consente, forza mealCountMode da 4 a 6: il piano passa da 4 a 6 pasti. Qualsiasi altro valore non ha effetto sul motore","Profilo -> nutrizione, campo numero pasti — /Users/antoninonocera/empathy/apps/web/modules/profile/views/ProfilePageView.tsx:546 (salvataggio), profile-form-sta","l'atleta a 6 pasti torna a 4. Il ramo e stretto (solo il valore 6, e solo con distribuzione compatibile): e un cerotto sopra caloricDistribution, non una leva indipendente"
atleta,viva,racePostRecovery (recovery post-gara: CHO/PRO g/kg su slot dedicato),contratto_motore,derivato da routine_config.week_plan + weight_kg; non persiste come campo,crea un pasto di recovery dedicato con composizione propria E sovrascrive i budget kcal/macro di quello slot ignorando la ripartizione Diet — l'UNICO caso in cui i target del request vincono sui budget V2,"stessa di racePreLunch: Profilo -> Routine, ProfileRoutineSection.tsx:87 giorno gara",nessun reintegro strutturato dopo la gara
atleta,viva,racePreLunch (contesto pranzo pre-gara),contratto_motore,athlete_profiles.routine_config.week_plan[giorno].day_mode — in prod 9 righe-giorno con day_mode='race'; il contesto derivato non persiste,"tre effetti: sposta l'orario del pasto pre-gara, sostituisce la composizione normale con una composizione pre-gara dedicata (bypassa completamente composeSlotFromAssembly), sopprime gli slot che cadono nella finestra gara","Profilo -> Routine, modalita giorno = gara — /Users/antoninonocera/empathy/apps/web/modules/profile/views/sections/ProfileRoutineSection.tsx:87 (day_mode: train",il giorno gara torna a un pranzo qualunque con verdure generiche (e esattamente il bug che questo codice e nato per risolvere)
atleta,viva,weightKg (peso corporeo) — input non-request,contratto_motore,athlete_profiles.weight_kg,"moltiplica il template macro g/kg (CHO/PRO/FAT basali), entra nel BMR e nel piano fueling da substrati, e determina il target idratazione persistito",Profilo -> dati antropometrici,"il motore perde la scala principale dei macro. Attenzione ai due fallback divergenti: route-prep.ts:217 mette 70 kg per il solver energetico, mentre l'idratazione persistita usa deliberatamente il peso nullable (edge index.ts:92-93, route.ts analogo)"
atleta,parziale,% calorie rispetto al fabbisogno (day_type_pct) — la leva ipo/normo/ipercalorico,superfici_coach,athlete_profiles.nutrition_config -> week_plan[gg].day_type_pct. NON e' fra le chiavi protette (sanitize-nutrition-config-percents.ts:32 DAY_PROTECTED_KEYS = ca,Moltiplica l'intero fabbisogno pasti del giorno: mealsKcal = (BMR + lifestyle + training) * pct/100. E' la manopola ipercalorico|normocalorico|ipocalorico.,apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:217 — input number 0-130. NON ha `disabled={!canEditNutritionPercents}`: la modifica anche l,"E' l'unica leva che esprime ipo/normo/iper, ma non e' mai stata usata da nessuno: tenerla e' una decisione di prodotto nuova, non la conservazione di un comportamento esistente. Se la si tiene va tolta all'atleta (aggiungerla a DAY_PROTECTED_KEYS a sanitize-nutrition-config-percents.ts:32 + `disable"
atleta,parziale,Aggiungi/cancella un extra al pasto,superfici_atleta,food_diary_entries (via POST /api/nutrition/diary),Registra cosa e stato mangiato in piu. Non cambia il piano di oggi ne quello di domani.,apps/web/modules/nutrition/components/MealExtraQuickAdd.tsx:200 (bottone «Aggiungi extra»),Si perde il registro e il calcolo micronutrienti/bioenergetica. Il piano generato non cambia.
atleta,parziale,Alimenti da evitare dal database (excluded_fdc_foods),leve_morte,"nutrition_config.excluded_fdc_foods [{fdcId,label}]","Esclude davvero quegli alimenti quando la generazione parte dal browser - ma per la LABEL, non per l'fdcId.",ProfileNutritionSection.tsx:310-362 (ricerca + chip),"Non si perde nessun dato reale (zero esclusioni impostate). Se si conserva, conservare il ramo LABEL, non quello fdcId."
atleta,parziale,"Alimenti da evitare, scelti dal database (ricerca + chip removibili)",superfici_atleta,"athlete_profiles.nutrition_config.excluded_fdc_foods ([{fdcId, label}])","Funziona solo per META. L'ETICHETTA entra nel deny testuale e quindi esclude davvero. L'fdcId non esclude nulla, perche filtra strutture che il motore V2 non guarda.","ProfileNutritionSection.tsx:309-360 (ricerca debounce, click per aggiungere, x per togliere)","Se il modello nuovo tiene «cosa non mangi», questa e la forma migliore (etichette reali del catalogo, niente testo libero). Va pero saldata: oggi funziona per coincidenza (match testuale) e non per l'fdcId scelto — un omonimo verrebbe escluso, un alias con nome diverso no."
atleta,parziale,Alimenti esclusi a mano (picker FDC — excluded_fdc_foods),schema_db,"athlete_profiles.nutrition_config -> excluded_fdc_foods (array di {fdcId, label})","Dovrebbe togliere quegli alimenti dal piano. In pratica mordono solo le ETICHETTE (entrano nel deny testuale); gli fdcId filtrano solo i gruppi-opzione del formato V1, mai il pool FDC del motore V2.",apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:309-360 (ricerca + chip rimovibili); scrittura ProfilePageView.tsx:510,"È una delle due cose che il modello nuovo vuole TENERE («cosa non mangio»). Non va tolta: va resa affidabile (fdcId che filtri davvero il pool V2 in fdc-branch-query, e lettura server che funzioni)."
atleta,parziale,Alimenti esclusi dal database (picker con ricerca -> fdcId),superfici_coach,"athlete_profiles.nutrition_config -> excluded_fdc_foods (array di { fdcId, label }, globale)",Esclusione esatta per fdcId (il compositore scarta il candidato con quell'id) + la label confluisce nel deny testuale.,"apps/web/modules/profile/views/sections/ProfileNutritionSection.tsx:309-362 — ricerca su /api/nutrition/food-lookup, chip con x per rimuovere",Si perde la granularita' fine («non voglio proprio QUESTO alimento»). Nel modello nuovo confluisce in «cosa non mangio» dell'atleta: resta ma cambia proprietario.
atleta,parziale,Allergie / intolleranze / esclusioni testuali + tipo dieta -> deny fragments,leve_morte,athlete_profiles.intolerances / .allergies / .food_exclusions (text[]) e .diet_type,E L'UNICA leva di esclusione che cambia davvero gli alimenti scelti: ogni frase viene espansa in sottostringhe (lattosio -> latte/yogurt/ricotta/...) e ogni cibo il cui nome le contiene viene scartato dal composer.,"ProfileNutritionSection.tsx:283-285 (tre input CSV: intolleranze, allergie, cibi esclusi) e :169 (select tipo dieta)",Si rompe l'unica esclusione alimentare funzionante e le diete vegan/vegetariana/pescetariana. Questa NON si tocca.
atleta,parziale,Altezza (cm),superfici_atleta,athlete_profiles.height_cm (numeric),"Entra nel BMR SOLO nel ramo Mifflin, cioe solo se manca la massa grassa E c'e anche la data di nascita. Oggi in prod questo vale per 7 atleti su 41.",ProfilePhysicalSection.tsx:23,"Si perde precisione BMR solo per quei 7; il fallback e peso x 22, sensibilmente diverso. Da tenere, ma e anagrafica da chiedere una volta, non una manopola."
atleta,parziale,Classe di attivita lifestyle (routine_config.lifestyle_activity_class),leve_morte,athlete_profiles.routine_config.lifestyle_activity_class (25 profili) - NON e una colonna,Alza/abbassa il fabbisogno di base (NEAT) e quindi le kcal di tutti i pasti - MA solo attraverso il calcolo del browser.,/Users/antoninonocera/empathy/apps/web/modules/profile/views/sections/ProfilePersonalSection.tsx:43 (select Lifestyle: Sedentary +15% / Moderate +20% / Active +,"NON e neutro: cambia il fabbisogno calcolato dal browser per tutti. Da trattare come leva viva, non come codice morto."
atleta,parziale,Classe di attività dello stile di vita (lifestyle_activity_class),schema_db,athlete_profiles.routine_config -> lifestyle_activity_class (text). La colonna athlete_profiles.lifestyle_activity_class NON ESISTE.,"Alza/abbassa la quota lifestyle del fabbisogno basale: 'active' = 30% del BMR contro 'moderate' (default del normalizzatore) = 20%. Su un BMR di 1700 kcal sono ~170 kcal/giorno di differenza, che si propagano agli slot pasto.","apps/web/modules/profile/views/sections/ProfileRoutineSection.tsx (select stile di vita) — salvata dentro routine_config, NON come colonna","Si perde la differenza sedentario/attivo sul fabbisogno basale del path browser (che è quello che l'atleta vede). È anche la prova più netta del disallineamento fra schema JSON e codice: se la si tiene, va tolta dalle tre SELECT che la cercano come colonna, perché è quella la causa del bug che uccid"
atleta,parziale,Classe stile di vita (lifestyle) — % sul BMR,calcolo_automatico,athlete_profiles.routine_config -> chiave JSON `lifestyle_activity_class` (NON e' una colonna),"Aggiunge al BMR il 15% (sedentary), 20% (moderate), 30% (active) o 40% (very_active). Su un BMR di 1700 valgono 255-680 kcal/giorno.","Profilo -> Personale, tendina 'Lifestyle' con le percentuali scritte nelle option — apps/web/modules/profile/views/sections/ProfilePersonalSection.tsx:43","Sparisce il 15-40% del BMR dal fabbisogno visibile. Serve un sostituto: o lo si deduce dalle kcal attive del device (che il sistema gia' sa leggere), o si fissa una costante unica. Non e' una leva gratis. Nota: esistono gia' TRE alternative concorrenti a questa formula (PAL del V2, activity_level de"
